K,Algoritmo,Rep,Custo_Total,Impacto_Ambiental,Tempo_Total_Segundos
13,MOEAD_AV,2,640.834445,6.036737,118.021
13,MOEAD_AV,2,640.835694,6.032909,118.021
13,MOEAD_AV,2,640.836128,6.027451,118.021
13,MOEAD_AV,2,640.839387,6.019064,118.021
13,MOEAD_AV,2,640.840636,6.015237,118.021
13,MOEAD_AV,2,640.842078,5.993729,118.021
13,MOEAD_AV,2,640.842237,5.993724,118.021
13,MOEAD_AV,2,640.845337,5.985342,118.021
13,MOEAD_AV,2,640.846586,5.984605,118.021
13,MOEAD_AV,2,640.846745,5.981509,118.021
13,MOEAD_AV,2,640.847020,5.976057,118.021
13,MOEAD_AV,2,640.850279,5.967670,118.021
13,MOEAD_AV,2,640.851528,5.963842,118.021
13,MOEAD_AV,2,640.853129,5.942329,118.021
13,MOEAD_AV,2,640.856388,5.933942,118.021
13,MOEAD_AV,2,640.857637,5.930114,118.021
13,MOEAD_AV,2,640.864930,5.929183,118.021
13,MOEAD_AV,2,640.866324,5.925922,118.021
13,MOEAD_AV,2,640.866759,5.921858,118.021
13,MOEAD_AV,2,640.877605,5.904200,118.021
13,MOEAD_AV,2,640.880864,5.895812,118.021
13,MOEAD_AV,2,640.882113,5.891985,118.021
13,MOEAD_AV,2,640.889406,5.891198,118.021
13,MOEAD_AV,2,640.890197,5.890040,118.021
13,MOEAD_AV,2,640.890800,5.887792,118.021
13,MOEAD_AV,2,640.891235,5.883728,118.021
13,MOEAD_AV,2,640.903685,5.880541,118.021
13,MOEAD_AV,2,640.907460,5.880368,118.021
13,MOEAD_AV,2,640.908629,5.879790,118.021
13,MOEAD_AV,2,640.908712,5.879549,118.021
13,MOEAD_AV,2,640.910214,5.871711,118.021
13,MOEAD_AV,2,640.911005,5.871574,118.021
13,MOEAD_AV,2,640.945901,5.868432,118.021
13,MOEAD_AV,2,640.946692,5.868295,118.021
13,MOEAD_AV,2,640.989980,5.868238,118.021
13,MOEAD_AV,2,640.992901,5.868143,118.021
13,MOEAD_AV,2,640.994217,5.866824,118.021
13,MOEAD_AV,2,640.995008,5.866687,118.021
13,MOEAD_AV,2,640.999367,5.865814,118.021
13,MOEAD_AV,2,641.018346,5.854514,118.021
13,MOEAD_AV,2,641.019137,5.853659,118.021
13,MOEAD_AV,2,641.054033,5.851235,118.021
13,MOEAD_AV,2,641.054824,5.850380,118.021
13,MOEAD_AV,2,641.103140,5.848772,118.021
13,MOEAD_AV,2,641.106456,5.801856,118.021
13,MOEAD_AV,2,641.182236,5.698045,118.021
13,MOEAD_AV,2,641.281497,5.666947,118.021
13,MOEAD_AV,2,641.524578,5.642028,118.021
13,MOEAD_AV,2,641.525369,5.641715,118.021
13,MOEAD_AV,2,641.529877,5.628783,118.021
13,MOEAD_AV,2,641.538208,5.621381,118.021
13,MOEAD_AV,2,641.538999,5.620527,118.021
13,MOEAD_AV,2,641.553012,5.558262,118.021
13,MOEAD_AV,2,641.562134,5.550005,118.021
13,MOEAD_AV,2,641.562925,5.549868,118.021
13,MOEAD_AV,2,641.572980,5.542790,118.021
13,MOEAD_AV,2,641.578279,5.519278,118.021
13,MOEAD_AV,2,641.587401,5.511021,118.021
13,MOEAD_AV,2,641.599851,5.507834,118.021
13,MOEAD_AV,2,641.606380,5.499721,118.021
13,MOEAD_AV,2,641.607171,5.498867,118.021
13,MOEAD_AV,2,641.627039,5.341493,118.021
13,MOEAD_AV,2,641.627654,5.300131,118.021
13,MOEAD_AV,2,641.630602,5.242605,118.021
13,MOEAD_AV,2,641.631393,4.701180,118.021
13,MOEAD_AV,2,641.639629,4.608969,118.021
13,MOEAD_AV,2,641.646172,4.569893,118.021
13,MOEAD_AV,2,641.649431,4.555835,118.021
13,MOEAD_AV,2,641.650680,4.553449,118.021
13,MOEAD_AV,2,641.658764,4.545128,118.021
13,MOEAD_AV,2,641.659802,4.539693,118.021
13,MOEAD_AV,2,641.675156,4.519315,118.021
13,MOEAD_AV,2,641.683240,4.508019,118.021
13,MOEAD_AV,2,641.704048,4.488533,118.021
13,MOEAD_AV,2,641.731434,4.486697,118.021
13,MOEAD_AV,2,641.732225,4.486560,118.021
13,MOEAD_AV,2,641.739735,4.485254,118.021
13,MOEAD_AV,2,641.767912,4.484301,118.021
13,MOEAD_AV,2,641.835560,4.481566,118.021
13,MOEAD_AV,2,641.867414,4.480623,118.021
13,MOEAD_AV,2,642.157399,4.336638,118.021
13,MOEAD_AV,2,642.158014,4.310289,118.021
13,MOEAD_AV,2,642.160347,4.283795,118.021
13,MOEAD_AV,2,642.160962,4.242342,118.021
13,MOEAD_AV,2,642.178958,4.235243,118.021
13,MOEAD_AV,2,642.179459,4.178713,118.021
13,MOEAD_AV,2,642.182686,4.140336,118.021
13,MOEAD_AV,2,642.187194,4.128285,118.021
13,MOEAD_AV,2,642.192136,4.108604,118.021
13,MOEAD_AV,2,642.193737,4.088631,118.021
13,MOEAD_AV,2,642.198245,4.074035,118.021
13,MOEAD_AV,2,642.218213,4.048961,118.021
13,MOEAD_AV,2,642.221472,4.039734,118.021
13,MOEAD_AV,2,642.222721,4.035906,118.021
13,MOEAD_AV,2,642.231843,4.027649,118.021
13,MOEAD_AV,2,642.240050,4.019842,118.021
13,MOEAD_AV,2,642.248262,4.019758,118.021
13,MOEAD_AV,2,642.268227,4.017869,118.021
13,MOEAD_AV,2,642.268291,4.016794,118.021
13,MOEAD_AV,2,642.285032,4.005149,118.021
13,MOEAD_AV,2,642.293139,3.993263,118.021
13,MOEAD_AV,2,642.301346,3.987481,118.021
13,MOEAD_AV,2,642.312909,3.981984,118.021
